Collection name='THashList', class='THashList', size=4
 TKey Name = Event_1, Title = object title, Cycle = 1
 TKey Name = Event_2, Title = object title, Cycle = 1
 TKey Name = Event_3, Title = object title, Cycle = 1
 TKey Name = Event_4, Title = object title, Cycle = 1
Collection: Event_1
Number of hits: 51
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.0172813  position[mm]: (0.624563,1.96588,-1556.39)
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.0401209  position[mm]: (0.695653,2.28327,-1447.86)
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.0124106  position[mm]: (0.732211,2.40358,-1400)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.0688403  position[mm]: (1.24376,4.38825,-600)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.0214921  position[mm]: (1.56778,5.78972,68.8932)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.0117086  position[mm]: (1.59487,5.87397,113.909)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.0194367  position[mm]: (1.62293,5.96278,160.63)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.0076575  position[mm]: (1.62985,6.00647,183.368)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00094126  position[mm]: (1.63019,6.01307,186.469)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00224236  position[mm]: (1.63128,6.04154,200)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.0280626  position[mm]: (1.93633,7.36137,879.346)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.0406694  position[mm]: (1.94233,7.63893,1000)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.00939466  position[mm]: (2.20598,9.00786,1627.93)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0139977  position[mm]: (2.21125,9.11851,1678.54)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0234516  position[mm]: (2.20906,9.21158,1722.24)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0151531  position[mm]: (2.21529,9.28927,1758.79)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0150428  position[mm]: (2.22699,9.36357,1800)
  trackID: 49  chamberNb: 4  energy deposit[MeV]: 0.00472861  position[mm]: (2.19824,9.32949,1758.79)
  trackID: 48  chamberNb: 4  energy deposit[MeV]: 0.00163189  position[mm]: (2.20335,9.20264,1722.24)
  trackID: 47  chamberNb: 4  energy deposit[MeV]: 0.00155786  position[mm]: (2.20167,9.11536,1678.54)
  trackID: 42  chamberNb: 3  energy deposit[MeV]: 0.003351  position[mm]: (1.95898,7.34654,879.347)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.0107487  position[mm]: (46.4436,-312.709,806.001)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.00480684  position[mm]: (53.5133,-317.088,809.743)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.00396979  position[mm]: (57.4492,-316.27,813.932)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.00435508  position[mm]: (63.4843,-311.848,810.793)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.0171761  position[mm]: (76.7472,-300.24,811.902)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.000466025  position[mm]: (76.2366,-299.96,810.048)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.0178234  position[mm]: (78.5937,-297.169,802.178)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.00409585  position[mm]: (81.1077,-294.492,800)
  trackID: 84  chamberNb: 3  energy deposit[MeV]: 0.00271241  position[mm]: (78.61,-297.174,802.189)
  trackID: 83  chamberNb: 3  energy deposit[MeV]: 0.00235763  position[mm]: (63.4842,-311.833,810.802)
  trackID: 82  chamberNb: 3  energy deposit[MeV]: 0.00155087  position[mm]: (57.4464,-316.263,813.939)
