
 1    0.14000    0.14000    0.14000    314.00     13.000  13.000     0.0  0.0  BARASHENKOV 61   FP 9, 549
 2    0.19000    0.19000    0.19000    155.00     2.0000  2.0000     0.0  0.0  BARASHENKOV 61   FP 9, 549
 3    0.24000    0.24000    0.24000    92.000     1.0000  1.0000     0.0  0.0  BARASHENKOV 61   FP 9, 549
 4    0.28000    0.28000    0.28000    70.000     1.0000  1.0000     0.0  0.0  BARASHENKOV 61   FP 9, 549
 5    0.31000    0.31000    0.31000    52.800     6.0000  6.0000     0.0  0.0  BARASHENKOV 61   FP 9, 549
 6    0.35000    0.35000    0.35000    42.500     0.40000 0.40000    0.0  0.0  BARASHENKOV 61   FP 9, 549
 7    0.37000    0.37000    0.37000    37.400     2.3000  2.3000     0.0  0.0  BARASHENKOV 61   FP 9, 549
 8    0.39000    0.39000    0.39000    33.900     2.0000  2.0000     0.0  0.0  BARASHENKOV 61   FP 9, 549
 9    0.43000    0.43000    0.43000    28.500     1.3000  1.3000     0.0  0.0  BARASHENKOV 61   FP 9, 549
 10   0.44000    0.44000    0.44000    27.700     1.3000  1.3000     0.0  0.0  BARASHENKOV 61   FP 9, 549
 11   0.49000    0.49000    0.49000    24.800     0.80000 0.80000    0.0  0.0  BARASHENKOV 61   FP 9, 549
 12   0.54000    0.54000    0.54000    25.200     1.2000  1.2000     0.0  0.0  BARASHENKOV 61   FP 9, 549
 13   0.57000    0.57000    0.57000    26.100     1.0000  1.0000     0.0  0.0  BARASHENKOV 61   FP 9, 549
 14   0.59000    0.59000    0.59000    23.200     1.9000  1.9000     0.0  0.0  BARASHENKOV 61   FP 9, 549
 15   0.60700    0.58700    0.62700    24.400     0.24400 0.24400    0.0  0.0  SCHWALLER 71     PL 35B, 243
 16   0.65847    0.65148    0.66541    25.800     2.0000  2.0000     0.0  0.0  CARVALHO 54      PR 96, 398
 17   0.69000    0.69000    0.69000    22.400     0.90000 0.90000    0.0  0.0  BARASHENKOV 61   FP 9, 549
 18   0.72000    0.72000    0.72000    22.400     1.8000  1.8000     0.0  0.0  BARASHENKOV 61   FP 9, 549
 19   0.75000    0.75000    0.75000    22.600     1.3000  1.3000     0.0  0.0  BARASHENKOV 61   FP 9, 549
 20   0.75700    0.73700    0.77700    23.700     0.21300 0.21300    0.0  0.0  SCHWALLER 71     PL 35B, 243
 21   0.83000    0.83000    0.83000    24.300     1.0000  1.0000     0.0  0.0  BARASHENKOV 61   FP 9, 549
 22   0.83086    0.81875    0.84288    24.300     1.0000  1.0000     0.0  0.0  CARVALHO 54      PR 96, 398
 23   0.84600    0.83500    0.85700    24.400     0.40000 0.40000    0.5  0.5  SHIMIZU 82       NP A386, 571
 24   0.85000    0.85000    0.85000    23.400     0.90000 0.90000    0.0  0.0  BARASHENKOV 61   FP 9, 549
 25   0.87200    0.85200    0.89200    24.300     0.21800 0.21800    0.0  0.0  SCHWALLER 71     PL 35B, 243
 26   0.88000    0.88000    0.88000    23.200     0.30000 0.30000    0.0  0.0  BARASHENKOV 61   FP 9, 549
 27   0.93000    0.93000    0.93000    24.400     0.40000 0.40000    0.0  0.0  BARASHENKOV 61   FP 9, 549
 28   0.93700    0.91700    0.95700    25.500     0.22900 0.22900    0.0  0.0  SCHWALLER 71     PL 35B, 243
 29   0.96300    0.94300    0.98300    26.150     0.23500 0.23500    0.0  0.0  SCHWALLER 71     PL 35B, 243
 30   0.96545    0.95146    0.97935    24.000     1.0000  1.0000     0.0  0.0  MARSHALL 53      PR 91, 767
 31   0.96800    0.96800    0.96800    26.900     0.70000 0.70000    3.0  3.0  DZHELEPOV 55     DANS 104, 380
 32   0.96824    0.95679    0.97962    26.500     1.4000  1.3000     0.0  0.0  CHEN 56          PR 103, 211
 33   0.97000    0.97000    0.97000    24.000     1.0000  1.0000     0.0  0.0  BARASHENKOV 61   FP 9, 549
 34   0.97100    0.97100    0.97100    26.900     0.70000 0.70000    0.0  0.0  BARASHENKOV 61   FP 9, 549
 35   1.00000    0.98900    1.01100    28.000     0.40000 0.40000    0.5  0.5  SHIMIZU 82       NP A386, 571
 36   1.00549    1.00549    1.00549    23.800     1.2000  1.2000     0.0  0.0  SUTTON 55        PR 97, 783
 37   1.00900    0.98900    1.02900    27.600     0.23400 0.23400    0.0  0.0  SCHWALLER 71     PL 35B, 243
 38   1.00959    0.99452    1.02456    27.000     2.0000  2.0000     0.0  0.0  SMITH 55         PR 97, 1186
 39   1.03673    1.03552    1.03794    28.000     2.0000  2.0000     0.0  0.0  MESHCHERYAKO 56  NCS 3, 119
 40   1.07500    1.07500    1.07500    27.600     0.40000 0.40000    3.0  3.0  DZHELEPOV 55     DANS 104, 380
 41   1.09000    1.09000    1.09000    29.900     0.40000 0.40000    3.0  3.0  DZHELEPOV 55     DANS 104, 380
 42   1.09300    1.07300    1.11300    30.750     0.26100 0.26100    0.0  0.0  SCHWALLER 71     PL 35B, 243
 43   1.10800    1.08800    1.12800    31.450     0.26700 0.26700    0.0  0.0  SCHWALLER 71     PL 35B, 243
 44   1.11100    1.10000    1.12200    32.900     0.50000 0.50000    0.5  0.5  SHIMIZU 82       NP A386, 571
 45   1.11100    1.10878    1.11322    34.029     0.17000 0.17000    0.3  0.3  BUGG 66          PR 146, 980
 46   1.12700    1.12700    1.12700    30.000     7.0000  7.0000     0.0  0.0  ELIOFF 59        PRL 3, 285
